"rownames(output.data)"	"dprime"	"dprime.hosei"	"degree"	"degree.st"	"betweenness"	"class"	"individuals"
"H_0741_Diptera_Sciaridae"	0.610081956212427	0.389918043787573	1	0.0064	0	"prey"	1
"H_0779_Diptera_Sciaridae"	0.0165498564431084	0.983450143556892	1	0.0064	0	"prey"	1
"H_0782_Diptera_Diptera"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0797_Diptera_Cecidomyiidae"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0798_Hymenoptera_Exallonyx"	0	1	1	0.0064	0	"prey"	1
"H_0832_Hymenoptera_Hymenoptera"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0857_Diptera_Diptera"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0861_Diptera_Cecidomyiidae"	0.346912859086218	0.653087140913782	2	0.0127	0.0715	"prey"	2
"H_0879_Hemiptera_Delphacidae"	0.0433574089403447	0.956642591059655	1	0.0064	0	"prey"	1
"H_0881_Hymenoptera_Hymenoptera"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0882_Hymenoptera_Ichneumonidae"	0	1	1	0.0064	0	"prey"	1
"H_0900_Psocoptera_Peripsocidae"	0.805040978106214	0.194959021893786	1	0.0064	0	"prey"	1
"H_0903_Diptera_Rhamphomyia"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0944_Diptera_Empididae"	0.0836068700805081	0.916393129919492	1	0.0064	0	"prey"	1
"H_1059_Diptera_Bradysia"	0.0165498564431084	0.983450143556892	1	0.0064	0	"prey"	1
"H_1061_Diptera_Cecidomyiidae"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_1105_Hymenoptera_Aphelinus"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_1153_Diptera_Sciaridae"	0.0433574089403447	0.956642591059655	1	0.0064	0	"prey"	1
"H_1196_Hemiptera_Acyrthosiphon.pisum"	0.00421550290960197	0.995784497090398	2	0.0127	0.0205	"prey"	2
"H_1198_Hemiptera_Aphis"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_1202_Hemiptera_Aphididae"	0.805040978106214	0.194959021893786	1	0.0064	0	"prey"	1
"H_1205_Hemiptera_Aphididae"	0.0433574089403447	0.956642591059655	1	0.0064	0	"prey"	1
"H_1221_Coleoptera_Anoplophora.glabripennis"	0.0165498564431084	0.983450143556892	1	0.0064	0	"prey"	1
