node_id	sp_name
353	H_0338_Diptera_Diptera
354	H_0339_Diptera_Diptera
355	H_0340_Diptera_Cecidomyiidae
356	H_0341_Lepidoptera_Noctuidae
357	H_0343_Diptera_Empididae
358	H_0344_Diptera_Dolichopodidae
359	H_0345_Coleoptera_Carabidae
360	H_0346_Hemiptera_Miridae
361	H_0348_Diptera_Drosophilidae
362	H_0349_Diptera_Mycetophilidae
363	H_0350_Hemiptera_Aphididae
364	H_0351_Diptera_Cecidomyiidae
365	H_0352_Coleoptera_Atomaria
366	H_0353_Diptera_Cecidomyiidae
367	H_0355_Diptera_Diptera
368	H_0356_Hemiptera_Cicadellidae
369	H_0357_Hemiptera_Hemiptera
370	H_0358_Hymenoptera_Aphaenogaster
371	H_0359_Orthoptera_Gonista
372	H_0360_Diptera_Cecidomyiidae
373	H_0361_Hymenoptera_Braconidae
374	H_0362_Hemiptera_Cicadellidae
375	H_0363_Diptera_Diptera
376	H_0364_Diptera_Diptera
377	H_0365_Coleoptera_Coleoptera
378	H_0366_Diptera_Cecidomyiidae
379	H_0367_Diptera_Diptera
380	H_0368_Diptera_Megaselia
381	H_0369_Psocoptera_Peripsocus
382	H_0370_Hymenoptera_Hymenoptera
383	H_0371_Hymenoptera_Tenthredinidae
384	H_0372_Diptera_Diptera
385	H_0373_Diptera_Diptera
386	H_0374_Lepidoptera_Lepidoptera
387	H_0375_Diptera_Phoridae
388	H_0376_Diptera_Diptera
389	H_0377_Diptera_Sciaridae
390	H_0378_Hemiptera_Delphacidae
391	H_0379_Hemiptera_Aphididae
392	H_0381_Diptera_Diptera
393	H_0382_Diptera_Diptera
394	H_0383_Hymenoptera_Hymenoptera
395	H_0384_Diptera_Diptera
396	H_0386_Diptera_Cecidomyiidae
397	H_0387_Diptera_Chironomus
398	H_0388_Hymenoptera_Formicidae
399	H_0389_Diptera_Mayetiola.destructor
400	H_0391_Lepidoptera_Lepidoptera
401	H_0392_Hemiptera_Cicadellidae
402	H_0393_Diptera_Diptera
403	H_0394_Hymenoptera_Eulophidae
404	H_0395_Hemiptera_Cicadellidae
405	H_0396_Coleoptera_Staphylinidae
406	H_0397_Neuroptera_Neuroptera
407	H_0398_Hemiptera_Aphididae
408	H_0399_Coleoptera_Coleoptera
409	H_0400_Hemiptera_Aphididae
410	H_0401_Lepidoptera_Crambidae
411	H_0403_Diptera_Cecidomyiidae
412	H_0404_Diptera_Dasineura
413	H_0405_Hemiptera_Bemisia.tabaci
414	H_0406_Diptera_Diptera
415	H_0407_Diptera_Phoridae
416	H_0408_Diptera_Diptera
417	H_0409_Hemiptera_Melanaphis
418	H_0410_Diptera_Cecidomyiidae
419	H_0411_Diptera_Sepsis
420	H_0412_Hymenoptera_Formicidae
421	H_0413_Hymenoptera_Formica
422	H_0415_Hymenoptera_Hymenoptera
423	H_0416_Hymenoptera_Halictidae
424	H_0417_Coleoptera_Endomychidae
425	H_0418_Hymenoptera_Nylanderia
426	H_0420_Diptera_Culicidae
427	H_0421_Diptera_Bradysia
428	H_0422_Diptera_Sciaridae
429	H_0424_Hymenoptera_Ceraphronidae
