hexa_id	family	diet	Oxyopes_sertatus	Tetragnatha_praedonia	Tetragnatha_caudicula	Ebrechtella_tricuspidata	Nephila_clavata	Neoscona_mellotteei	Clubiona_sp.	Diaea_subdola	Xysticus_sp.	Larinia_argiopiformis	Hypsosinga_pygmaea	Mendoza_elongata	Pardosa_sp.	Dolomedes_sp.	Thomisus_labefactus	Sitticus_sp.	Salticidae_sp.1
H_0248_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0253_Diptera_Syrphidae	Syrphidae	variable	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0254_Diptera_Cecidomyiidae	Cecidomyiidae	variable	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0257_Diptera_Diptera	Unidentified	unidentified	11	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0258_Hemiptera_Aphididae	Aphididae	herbivorous	17	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
H_0259_Diptera_Cecidomyiidae	Cecidomyiidae	variable	3	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0264_Diptera_Aplomya	Tachinidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0268_Hemiptera_Aphis	Aphididae	herbivorous	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0273_Hemiptera_Hemiptera	Unidentified	unidentified	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0276_Diptera_Diptera	Unidentified	unidentified	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0279_Hymenoptera_Aphidius	Braconidae	predatory/parasitic	3	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0280_Hemiptera_Delphacidae	Delphacidae	herbivorous	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0286_Lithobiomorpha_Lithobiidae	Lithobiidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
